"Variable","Coefficient","HR","Lower95","Upper95","PValue"
"AC004967.2",-0.865604885052704,0.420796941849609,1.27765839970441,2.05988333068875,0.00170527656842925
"AC005703.3",1.38431507373327,3.99209068044385,4.41073494456122,46109.5974718562,0.00610903302123804
"AC016949.1",0.383514103194094,1.46743224778462,3.32972106026711,5.99038327806203,0.000156025624166067
"AC137932.2",0.827716496063065,2.28808791247303,3.14395147064571,96.5863184205606,0.0190413222051803
"AL109936.9",-0.42084706407789,0.65649049471127,1.66320839617656,2.3329584203164,0.00121529892615876
"AL442067.1",0.225641687861705,1.25312657436321,2.81105208589075,4.56920388987958,0.0216869658515592
"AP001505.1",0.0170486706779422,1.01719482868239,2.73624009150931,2.79523657735834,0.00143876727593183
"LINC01496",6.11842535546585,454.149007918415,42.3957684015823,Inf,0.0124321159322721
"MFF.DT",2.24137637158909,9.40626890319473,8.6864880621905,595676352531656576,0.00281238828660202
